Iterações entre number1 / number2: 32400
+3 5/2 / +3 = +1 5/6
+3 5/2 / +4 = +1 3/8
+3 5/2 / +5 = +1 1/10
+3 5/2 / +6 = +11/12
+3 5/2 / +7 = +11/14
+3 5/2 / +8 = +11/16
+3 5/2 / +9 = +11/18
+3 5/2 / -1 = -5 1/2
+3 5/2 / -2 = -2 3/4
+3 5/2 / -3 = -1 5/6
+3 5/2 / -4 = -1 3/8
+3 5/2 / -5 = -1 1/10
+3 5/2 / -6 = -11/12
+3 5/2 / -7 = -11/14
+3 5/2 / -8 = -11/16
+3 5/2 / -9 = -11/18
+3 5/3 / +1 = +4 2/3
+3 5/3 / +2 = +2 1/3
+3 5/3 / +3 = +1 5/9
+3 5/3 / +4 = +1 1/6
+3 5/3 / +5 = +14/15
+3 5/3 / +6 = +7/9
+3 5/3 / +7 = +2/3
+3 5/3 / +8 = +7/12
+3 5/3 / +9 = +14/27
+3 5/3 / -1 = -4 2/3
+3 5/3 / -2 = -2 1/3
+3 5/3 / -3 = -1 5/9
+3 5/3 / -4 = -1 1/6
+3 5/3 / -5 = -14/15
+3 5/3 / -6 = -7/9
+3 5/3 / -7 = -2/3
+3 5/3 / -8 = -7/12
+3 5/3 / -9 = -14/27
+3 5/4 / +1 = +4 1/4
+3 5/4 / +2 = +2 1/8
+3 5/4 / +3 = +1 5/12
+3 5/4 / +4 = +1 1/16
+3 5/4 / +5 = +17/20
+3 5/4 / +6 = +17/24
+3 5/4 / +7 = +17/28
+3 5/4 / +8 = +17/32
+3 5/4 / +9 = +17/36
+3 5/4 / -1 = -4 1/4
+3 5/4 / -2 = -2 1/8
+3 5/4 / -3 = -1 5/12
+3 5/4 / -4 = -1 1/16
+3 5/4 / -5 = -17/20
+3 5/4 / -6 = -17/24
+3 5/4 / -7 = -17/28
+3 5/4 / -8 = -17/32
+3 5/4 / -9 = -17/36
+3 5/5 / +1 = +4
+3 5/5 / +2 = +2
+3 5/5 / +3 = +1 1/3
+3 5/5 / +4 = +1
+3 5/5 / +5 = +4/5
+3 5/5 / +6 = +2/3
+3 5/5 / +7 = +4/7
+3 5/5 / +8 = +1/2
+3 5/5 / +9 = +4/9
+3 5/5 / -1 = -4
+3 5/5 / -2 = -2
+3 5/5 / -3 = -1 1/3
+3 5/5 / -4 = -1
+3 5/5 / -5 = -4/5
+3 5/5 / -6 = -2/3
+3 5/5 / -7 = -4/7
+3 5/5 / -8 = -1/2
+3 5/5 / -9 = -4/9
+3 5/6 / +1 = +3 5/6
+3 5/6 / +2 = +1 11/12
+3 5/6 / +3 = +1 5/18
+3 5/6 / +4 = +23/24
+3 5/6 / +5 = +23/30
+3 5/6 / +6 = +23/36
+3 5/6 / +7 = +23/42
+3 5/6 / +8 = +23/48
+3 5/6 / +9 = +23/54
+3 5/6 / -1 = -3 5/6
+3 5/6 / -2 = -1 11/12
+3 5/6 / -3 = -1 5/18
+3 5/6 / -4 = -23/24
+3 5/6 / -5 = -23/30
+3 5/6 / -6 = -23/36
+3 5/6 / -7 = -23/42
+3 5/6 / -8 = -23/48
+3 5/6 / -9 = -23/54
+3 5/7 / +1 = +3 5/7
+3 5/7 / +2 = +1 6/7
+3 5/7 / +3 = +1 5/21
+3 5/7 / +4 = +13/14
+3 5/7 / +5 = +26/35
+3 5/7 / +6 = +13/21
+3 5/7 / +7 = +26/49
+3 5/7 / +8 = +13/28
+3 5/7 / +9 = +26/63
+3 5/7 / -1 = -3 5/7
+3 5/7 / -2 = -1 6/7
+3 5/7 / -3 = -1 5/21
+3 5/7 / -4 = -13/14
+3 5/7 / -5 = -26/35
+3 5/7 / -6 = -13/21
+3 5/7 / -7 = -26/49
+3 5/7 / -8 = -13/28
+3 5/7 / -9 = -26/63
+3 5/8 / +1 = +3 5/8
+3 5/8 / +2 = +1 13/16
+3 5/8 / +3 = +1 5/24
+3 5/8 / +4 = +29/32
+3 5/8 / +5 = +29/40
+3 5/8 / +6 = +29/48
+3 5/8 / +7 = +29/56
+3 5/8 / +8 = +29/64
+3 5/8 / +9 = +29/72
+3 5/8 / -1 = -3 5/8
+3 5/8 / -2 = -1 13/16
+3 5/8 / -3 = -1 5/24
+3 5/8 / -4 = -29/32
+3 5/8 / -5 = -29/40
+3 5/8 / -6 = -29/48
+3 5/8 / -7 = -29/56
+3 5/8 / -8 = -29/64
+3 5/8 / -9 = -29/72
+3 5/9 / +1 = +3 5/9
+3 5/9 / +2 = +1 7/9
+3 5/9 / +3 = +1 5/27
+3 5/9 / +4 = +8/9
+3 5/9 / +5 = +32/45
+3 5/9 / +6 = +16/27
+3 5/9 / +7 = +32/63
+3 5/9 / +8 = +4/9
+3 5/9 / +9 = +32/81
+3 5/9 / -1 = -3 5/9
+3 5/9 / -2 = -1 7/9
+3 5/9 / -3 = -1 5/27
+3 5/9 / -4 = -8/9
+3 5/9 / -5 = -32/45
+3 5/9 / -6 = -16/27
+3 5/9 / -7 = -32/63
+3 5/9 / -8 = -4/9
+3 5/9 / -9 = -32/81
+3 6/1 / +1 = +9
+3 6/1 / +2 = +4 1/2
+3 6/1 / +3 = +3
+3 6/1 / +4 = +2 1/4
+3 6/1 / +5 = +1 4/5
+3 6/1 / +6 = +1 1/2
+3 6/1 / +7 = +1 2/7
+3 6/1 / +8 = +1 1/8
+3 6/1 / +9 = +1
+3 6/1 / -1 = -9
+3 6/1 / -2 = -4 1/2
+3 6/1 / -3 = -3
+3 6/1 / -4 = -2 1/4
+3 6/1 / -5 = -1 4/5
+3 6/1 / -6 = -1 1/2
+3 6/1 / -7 = -1 2/7
+3 6/1 / -8 = -1 1/8
+3 6/1 / -9 = -1
+3 6/2 / +1 = +6
+3 6/2 / +2 = +3
+3 6/2 / +3 = +2
+3 6/2 / +4 = +1 1/2
+3 6/2 / +5 = +1 1/5
+3 6/2 / +6 = +1
+3 6/2 / +7 = +6/7
+3 6/2 / +8 = +3/4
+3 6/2 / +9 = +2/3
+3 6/2 / -1 = -6
+3 6/2 / -2 = -3
+3 6/2 / -3 = -2
+3 6/2 / -4 = -1 1/2
+3 6/2 / -5 = -1 1/5
+3 6/2 / -6 = -1
+3 6/2 / -7 = -6/7
+3 6/2 / -8 = -3/4
+3 6/2 / -9 = -2/3
+3 6/3 / +1 = +5
+3 6/3 / +2 = +2 1/2
+3 6/3 / +3 = +1 2/3
+3 6/3 / +4 = +1 1/4
+3 6/3 / +5 = +1
+3 6/3 / +6 = +5/6
+3 6/3 / +7 = +5/7
+3 6/3 / +8 = +5/8
+3 6/3 / +9 = +5/9
+3 6/3 / -1 = -5
+3 6/3 / -2 = -2 1/2
+3 6/3 / -3 = -1 2/3
+3 6/3 / -4 = -1 1/4
+3 6/3 / -5 = -1
+3 6/3 / -6 = -5/6
+3 6/3 / -7 = -5/7
+3 6/3 / -8 = -5/8
+3 6/3 / -9 = -5/9
+3 6/4 / +1 = +4 1/2
+3 6/4 / +2 = +2 1/4
+3 6/4 / +3 = +1 1/2
+3 6/4 / +4 = +1 1/8
+3 6/4 / +5 = +9/10
+3 6/4 / +6 = +3/4
+3 6/4 / +7 = +9/14
+3 6/4 / +8 = +9/16
+3 6/4 / +9 = +1/2
+3 6/4 / -1 = -4 1/2
+3 6/4 / -2 = -2 1/4
+3 6/4 / -3 = -1 1/2
+3 6/4 / -4 = -1 1/8
+3 6/4 / -5 = -9/10
+3 6/4 / -6 = -3/4
+3 6/4 / -7 = -9/14
+3 6/4 / -8 = -9/16
+3 6/4 / -9 = -1/2
+3 6/5 / +1 = +4 1/5
+3 6/5 / +2 = +2 1/10
+3 6/5 / +3 = +1 2/5
+3 6/5 / +4 = +1 1/20
+3 6/5 / +5 = +21/25
+3 6/5 / +6 = +7/10
+3 6/5 / +7 = +3/5
+3 6/5 / +8 = +21/40
+3 6/5 / +9 = +7/15
+3 6/5 / -1 = -4 1/5
+3 6/5 / -2 = -2 1/10
+3 6/5 / -3 = -1 2/5
+3 6/5 / -4 = -1 1/20
+3 6/5 / -5 = -21/25
+3 6/5 / -6 = -7/10
+3 6/5 / -7 = -3/5
+3 6/5 / -8 = -21/40
+3 6/5 / -9 = -7/15
+3 6/6 / +1 = +4
+3 6/6 / +2 = +2
+3 6/6 / +3 = +1 1/3
+3 6/6 / +4 = +1
+3 6/6 / +5 = +4/5
+3 6/6 / +6 = +2/3
+3 6/6 / +7 = +4/7
+3 6/6 / +8 = +1/2
+3 6/6 / +9 = +4/9
+3 6/6 / -1 = -4
+3 6/6 / -2 = -2
+3 6/6 / -3 = -1 1/3
+3 6/6 / -4 = -1
+3 6/6 / -5 = -4/5
+3 6/6 / -6 = -2/3
+3 6/6 / -7 = -4/7
+3 6/6 / -8 = -1/2
+3 6/6 / -9 = -4/9
+3 6/7 / +1 = +3 6/7
+3 6/7 / +2 = +1 13/14
+3 6/7 / +3 = +1 2/7
+3 6/7 / +4 = +27/28
+3 6/7 / +5 = +27/35
+3 6/7 / +6 = +9/14
+3 6/7 / +7 = +27/49
+3 6/7 / +8 = +27/56
+3 6/7 / +9 = +3/7
+3 6/7 / -1 = -3 6/7
+3 6/7 / -2 = -1 13/14
+3 6/7 / -3 = -1 2/7
+3 6/7 / -4 = -27/28
+3 6/7 / -5 = -27/35
+3 6/7 / -6 = -9/14
+3 6/7 / -7 = -27/49
+3 6/7 / -8 = -27/56
+3 6/7 / -9 = -3/7
+3 6/8 / +1 = +3 3/4
+3 6/8 / +2 = +1 7/8
+3 6/8 / +3 = +1 1/4
+3 6/8 / +4 = +15/16
+3 6/8 / +5 = +3/4
+3 6/8 / +6 = +5/8
+3 6/8 / +7 = +15/28
+3 6/8 / +8 = +15/32
+3 6/8 / +9 = +5/12
+3 6/8 / -1 = -3 3/4
+3 6/8 / -2 = -1 7/8
+3 6/8 / -3 = -1 1/4
+3 6/8 / -4 = -15/16
+3 6/8 / -5 = -3/4
+3 6/8 / -6 = -5/8
+3 6/8 / -7 = -15/28
+3 6/8 / -8 = -15/32
+3 6/8 / -9 = -5/12
+3 6/9 / +1 = +3 2/3
+3 6/9 / +2 = +1 5/6
+3 6/9 / +3 = +1 2/9
+3 6/9 / +4 = +11/12
+3 6/9 / +5 = +11/15
+3 6/9 / +6 = +11/18
+3 6/9 / +7 = +11/21
+3 6/9 / +8 = +11/24
+3 6/9 / +9 = +11/27
+3 6/9 / -1 = -3 2/3
+3 6/9 / -2 = -1 5/6
+3 6/9 / -3 = -1 2/9
+3 6/9 / -4 = -11/12
+3 6/9 / -5 = -11/15
+3 6/9 / -6 = -11/18
+3 6/9 / -7 = -11/21
+3 6/9 / -8 = -11/24
+3 6/9 / -9 = -11/27
+3 7/1 / +1 = +10
+3 7/1 / +2 = +5
+3 7/1 / +3 = +3 1/3
+3 7/1 / +4 = +2 1/2
+3 7/1 / +5 = +2
+3 7/1 / +6 = +1 2/3
+3 7/1 / +7 = +1 3/7
+3 7/1 / +8 = +1 1/4
+3 7/1 / +9 = +1 1/9
+3 7/1 / -1 = -10
+3 7/1 / -2 = -5
+3 7/1 / -3 = -3 1/3
+3 7/1 / -4 = -2 1/2
+3 7/1 / -5 = -2
+3 7/1 / -6 = -1 2/3
+3 7/1 / -7 = -1 3/7
+3 7/1 / -8 = -1 1/4
+3 7/1 / -9 = -1 1/9
+3 7/2 / +1 = +6 1/2
+3 7/2 / +2 = +3 1/4
+3 7/2 / +3 = +2 1/6
+3 7/2 / +4 = +1 5/8
+3 7/2 / +5 = +1 3/10
+3 7/2 / +6 = +1 1/12
+3 7/2 / +7 = +13/14
+3 7/2 / +8 = +13/16
+3 7/2 / +9 = +13/18
+3 7/2 / -1 = -6 1/2
+3 7/2 / -2 = -3 1/4
+3 7/2 / -3 = -2 1/6
+3 7/2 / -4 = -1 5/8
+3 7/2 / -5 = -1 3/10
+3 7/2 / -6 = -1 1/12
+3 7/2 / -7 = -13/14
+3 7/2 / -8 = -13/16
+3 7/2 / -9 = -13/18
+3 7/3 / +1 = +5 1/3
+3 7/3 / +2 = +2 2/3
+3 7/3 / +3 = +1 7/9
+3 7/3 / +4 = +1 1/3
+3 7/3 / +5 = +1 1/15
+3 7/3 / +6 = +8/9
+3 7/3 / +7 = +16/21
+3 7/3 / +8 = +2/3
+3 7/3 / +9 = +16/27
+3 7/3 / -1 = -5 1/3
+3 7/3 / -2 = -2 2/3
+3 7/3 / -3 = -1 7/9
+3 7/3 / -4 = -1 1/3
+3 7/3 / -5 = -1 1/15
+3 7/3 / -6 = -8/9
+3 7/3 / -7 = -16/21
+3 7/3 / -8 = -2/3
+3 7/3 / -9 = -16/27
+3 7/4 / +1 = +4 3/4
+3 7/4 / +2 = +2 3/8
+3 7/4 / +3 = +1 7/12
+3 7/4 / +4 = +1 3/16
+3 7/4 / +5 = +19/20
+3 7/4 / +6 = +19/24
+3 7/4 / +7 = +19/28
+3 7/4 / +8 = +19/32
+3 7/4 / +9 = +19/36
+3 7/4 / -1 = -4 3/4
+3 7/4 / -2 = -2 3/8
+3 7/4 / -3 = -1 7/12
+3 7/4 / -4 = -1 3/16
+3 7/4 / -5 = -19/20
+3 7/4 / -6 = -19/24
+3 7/4 / -7 = -19/28
+3 7/4 / -8 = -19/32
+3 7/4 / -9 = -19/36
+3 7/5 / +1 = +4 2/5
+3 7/5 / +2 = +2 1/5
+3 7/5 / +3 = +1 7/15
+3 7/5 / +4 = +1 1/10
+3 7/5 / +5 = +22/25
+3 7/5 / +6 = +11/15
+3 7/5 / +7 = +22/35
+3 7/5 / +8 = +11/20
+3 7/5 / +9 = +22/45
+3 7/5 / -1 = -4 2/5
+3 7/5 / -2 = -2 1/5
+3 7/5 / -3 = -1 7/15
+3 7/5 / -4 = -1 1/10
+3 7/5 / -5 = -22/25
+3 7/5 / -6 = -11/15
+3 7/5 / -7 = -22/35
+3 7/5 / -8 = -11/20
+3 7/5 / -9 = -22/45
+3 7/6 / +1 = +4 1/6
+3 7/6 / +2 = +2 1/12
+3 7/6 / +3 = +1 7/18
+3 7/6 / +4 = +1 1/24
+3 7/6 / +5 = +5/6
+3 7/6 / +6 = +25/36
+3 7/6 / +7 = +25/42
+3 7/6 / +8 = +25/48
+3 7/6 / +9 = +25/54
+3 7/6 / -1 = -4 1/6
+3 7/6 / -2 = -2 1/12
+3 7/6 / -3 = -1 7/18
+3 7/6 / -4 = -1 1/24
+3 7/6 / -5 = -5/6
+3 7/6 / -6 = -25/36
+3 7/6 / -7 = -25/42
+3 7/6 / -8 = -25/48
+3 7/6 / -9 = -25/54
+3 7/7 / +1 = +4
+3 7/7 / +2 = +2
+3 7/7 / +3 = +1 1/3
+3 7/7 / +4 = +1
+3 7/7 / +5 = +4/5
+3 7/7 / +6 = +2/3
+3 7/7 / +7 = +4/7
+3 7/7 / +8 = +1/2
+3 7/7 / +9 = +4/9
+3 7/7 / -1 = -4
+3 7/7 / -2 = -2
+3 7/7 / -3 = -1 1/3
+3 7/7 / -4 = -1
+3 7/7 / -5 = -4/5
+3 7/7 / -6 = -2/3
+3 7/7 / -7 = -4/7
+3 7/7 / -8 = -1/2
+3 7/7 / -9 = -4/9
+3 7/8 / +1 = +3 7/8
+3 7/8 / +2 = +1 15/16
+3 7/8 / +3 = +1 7/24
+3 7/8 / +4 = +31/32
+3 7/8 / +5 = +31/40
+3 7/8 / +6 = +31/48
+3 7/8 / +7 = +31/56
+3 7/8 / +8 = +31/64
+3 7/8 / +9 = +31/72
+3 7/8 / -1 = -3 7/8
+3 7/8 / -2 = -1 15/16
+3 7/8 / -3 = -1 7/24
+3 7/8 / -4 = -31/32
+3 7/8 / -5 = -31/40
+3 7/8 / -6 = -31/48
+3 7/8 / -7 = -31/56
+3 7/8 / -8 = -31/64
+3 7/8 / -9 = -31/72
+3 7/9 / +1 = +3 7/9
+3 7/9 / +2 = +1 8/9
+3 7/9 / +3 = +1 7/27
+3 7/9 / +4 = +17/18
+3 7/9 / +5 = +34/45
+3 7/9 / +6 = +17/27
+3 7/9 / +7 = +34/63
+3 7/9 / +8 = +17/36
+3 7/9 / +9 = +34/81
+3 7/9 / -1 = -3 7/9
+3 7/9 / -2 = -1 8/9
+3 7/9 / -3 = -1 7/27
+3 7/9 / -4 = -17/18
+3 7/9 / -5 = -34/45
+3 7/9 / -6 = -17/27
+3 7/9 / -7 = -34/63
+3 7/9 / -8 = -17/36
+3 7/9 / -9 = -34/81
+3 8/1 / +1 = +11
+3 8/1 / +2 = +5 1/2
+3 8/1 / +3 = +3 2/3
+3 8/1 / +4 = +2 3/4
+3 8/1 / +5 = +2 1/5
+3 8/1 / +6 = +1 5/6
+3 8/1 / +7 = +1 4/7
+3 8/1 / +8 = +1 3/8
+3 8/1 / +9 = +1 2/9
+3 8/1 / -1 = -11
+3 8/1 / -2 = -5 1/2
+3 8/1 / -3 = -3 2/3
+3 8/1 / -4 = -2 3/4
+3 8/1 / -5 = -2 1/5
+3 8/1 / -6 = -1 5/6
+3 8/1 / -7 = -1 4/7
+3 8/1 / -8 = -1 3/8
+3 8/1 / -9 = -1 2/9
+3 8/2 / +1 = +7
+3 8/2 / +2 = +3 1/2
+3 8/2 / +3 = +2 1/3
+3 8/2 / +4 = +1 3/4
+3 8/2 / +5 = +1 2/5
+3 8/2 / +6 = +1 1/6
+3 8/2 / +7 = +1
+3 8/2 / +8 = +7/8
+3 8/2 / +9 = +7/9
+3 8/2 / -1 = -7
+3 8/2 / -2 = -3 1/2
+3 8/2 / -3 = -2 1/3
+3 8/2 / -4 = -1 3/4
+3 8/2 / -5 = -1 2/5
+3 8/2 / -6 = -1 1/6
+3 8/2 / -7 = -1
+3 8/2 / -8 = -7/8
+3 8/2 / -9 = -7/9
+3 8/3 / +1 = +5 2/3
+3 8/3 / +2 = +2 5/6
+3 8/3 / +3 = +1 8/9
+3 8/3 / +4 = +1 5/12
+3 8/3 / +5 = +1 2/15
+3 8/3 / +6 = +17/18
+3 8/3 / +7 = +17/21
+3 8/3 / +8 = +17/24
+3 8/3 / +9 = +17/27
+3 8/3 / -1 = -5 2/3
+3 8/3 / -2 = -2 5/6
+3 8/3 / -3 = -1 8/9
+3 8/3 / -4 = -1 5/12
+3 8/3 / -5 = -1 2/15
+3 8/3 / -6 = -17/18
+3 8/3 / -7 = -17/21
+3 8/3 / -8 = -17/24
+3 8/3 / -9 = -17/27
+3 8/4 / +1 = +5
+3 8/4 / +2 = +2 1/2
+3 8/4 / +3 = +1 2/3
+3 8/4 / +4 = +1 1/4
+3 8/4 / +5 = +1
+3 8/4 / +6 = +5/6
+3 8/4 / +7 = +5/7
+3 8/4 / +8 = +5/8
+3 8/4 / +9 = +5/9
+3 8/4 / -1 = -5
+3 8/4 / -2 = -2 1/2
+3 8/4 / -3 = -1 2/3
+3 8/4 / -4 = -1 1/4
+3 8/4 / -5 = -1
+3 8/4 / -6 = -5/6
+3 8/4 / -7 = -5/7
+3 8/4 / -8 = -5/8
+3 8/4 / -9 = -5/9
+3 8/5 / +1 = +4 3/5
+3 8/5 / +2 = +2 3/10
+3 8/5 / +3 = +1 8/15
+3 8/5 / +4 = +1 3/20
+3 8/5 / +5 = +23/25
+3 8/5 / +6 = +23/30
+3 8/5 / +7 = +23/35
+3 8/5 / +8 = +23/40
+3 8/5 / +9 = +23/45
+3 8/5 / -1 = -4 3/5
+3 8/5 / -2 = -2 3/10
+3 8/5 / -3 = -1 8/15
+3 8/5 / -4 = -1 3/20
+3 8/5 / -5 = -23/25
+3 8/5 / -6 = -23/30
+3 8/5 / -7 = -23/35
+3 8/5 / -8 = -23/40
+3 8/5 / -9 = -23/45
+3 8/6 / +1 = +4 1/3
+3 8/6 / +2 = +2 1/6
+3 8/6 / +3 = +1 4/9
+3 8/6 / +4 = +1 1/12
+3 8/6 / +5 = +13/15
+3 8/6 / +6 = +13/18
+3 8/6 / +7 = +13/21
+3 8/6 / +8 = +13/24
+3 8/6 / +9 = +13/27
+3 8/6 / -1 = -4 1/3
+3 8/6 / -2 = -2 1/6
+3 8/6 / -3 = -1 4/9
+3 8/6 / -4 = -1 1/12
+3 8/6 / -5 = -13/15
+3 8/6 / -6 = -13/18
+3 8/6 / -7 = -13/21
+3 8/6 / -8 = -13/24
+3 8/6 / -9 = -13/27
+3 8/7 / +1 = +4 1/7
+3 8/7 / +2 = +2 1/14
+3 8/7 / +3 = +1 8/21
+3 8/7 / +4 = +1 1/28
+3 8/7 / +5 = +29/35
+3 8/7 / +6 = +29/42
+3 8/7 / +7 = +29/49
+3 8/7 / +8 = +29/56
+3 8/7 / +9 = +29/63
+3 8/7 / -1 = -4 1/7
+3 8/7 / -2 = -2 1/14
+3 8/7 / -3 = -1 8/21
+3 8/7 / -4 = -1 1/28
+3 8/7 / -5 = -29/35
+3 8/7 / -6 = -29/42
+3 8/7 / -7 = -29/49
+3 8/7 / -8 = -29/56
+3 8/7 / -9 = -29/63
+3 8/8 / +1 = +4
+3 8/8 / +2 = +2
+3 8/8 / +3 = +1 1/3
+3 8/8 / +4 = +1
+3 8/8 / +5 = +4/5
+3 8/8 / +6 = +2/3
+3 8/8 / +7 = +4/7
+3 8/8 / +8 = +1/2
+3 8/8 / +9 = +4/9
+3 8/8 / -1 = -4
+3 8/8 / -2 = -2
+3 8/8 / -3 = -1 1/3
+3 8/8 / -4 = -1
+3 8/8 / -5 = -4/5
+3 8/8 / -6 = -2/3
+3 8/8 / -7 = -4/7
+3 8/8 / -8 = -1/2
+3 8/8 / -9 = -4/9
+3 8/9 / +1 = +3 8/9
+3 8/9 / +2 = +1 17/18
+3 8/9 / +3 = +1 8/27
+3 8/9 / +4 = +35/36
+3 8/9 / +5 = +7/9
+3 8/9 / +6 = +35/54
+3 8/9 / +7 = +5/9
+3 8/9 / +8 = +35/72
+3 8/9 / +9 = +35/81
+3 8/9 / -1 = -3 8/9
+3 8/9 / -2 = -1 17/18
+3 8/9 / -3 = -1 8/27
+3 8/9 / -4 = -35/36
+3 8/9 / -5 = -7/9
+3 8/9 / -6 = -35/54
+3 8/9 / -7 = -5/9
+3 8/9 / -8 = -35/72
+3 8/9 / -9 = -35/81
+3 9/1 / +1 = +12
+3 9/1 / +2 = +6
+3 9/1 / +3 = +4
+3 9/1 / +4 = +3
+3 9/1 / +5 = +2 2/5
+3 9/1 / +6 = +2
+3 9/1 / +7 = +1 5/7
+3 9/1 / +8 = +1 1/2
+3 9/1 / +9 = +1 1/3
+3 9/1 / -1 = -12
+3 9/1 / -2 = -6
+3 9/1 / -3 = -4
+3 9/1 / -4 = -3
+3 9/1 / -5 = -2 2/5
+3 9/1 / -6 = -2
+3 9/1 / -7 = -1 5/7
+3 9/1 / -8 = -1 1/2
+3 9/1 / -9 = -1 1/3
+3 9/2 / +1 = +7 1/2
+3 9/2 / +2 = +3 3/4
+3 9/2 / +3 = +2 1/2
+3 9/2 / +4 = +1 7/8
+3 9/2 / +5 = +1 1/2
+3 9/2 / +6 = +1 1/4
+3 9/2 / +7 = +1 1/14
+3 9/2 / +8 = +15/16
+3 9/2 / +9 = +5/6
+3 9/2 / -1 = -7 1/2
+3 9/2 / -2 = -3 3/4
+3 9/2 / -3 = -2 1/2
+3 9/2 / -4 = -1 7/8
+3 9/2 / -5 = -1 1/2
+3 9/2 / -6 = -1 1/4
+3 9/2 / -7 = -1 1/14
+3 9/2 / -8 = -15/16
+3 9/2 / -9 = -5/6
+3 9/3 / +1 = +6
+3 9/3 / +2 = +3
+3 9/3 / +3 = +2
+3 9/3 / +4 = +1 1/2
+3 9/3 / +5 = +1 1/5
+3 9/3 / +6 = +1
+3 9/3 / +7 = +6/7
+3 9/3 / +8 = +3/4
+3 9/3 / +9 = +2/3
+3 9/3 / -1 = -6
+3 9/3 / -2 = -3
+3 9/3 / -3 = -2
+3 9/3 / -4 = -1 1/2
+3 9/3 / -5 = -1 1/5
+3 9/3 / -6 = -1
+3 9/3 / -7 = -6/7
+3 9/3 / -8 = -3/4
+3 9/3 / -9 = -2/3
+3 9/4 / +1 = +5 1/4
+3 9/4 / +2 = +2 5/8
+3 9/4 / +3 = +1 3/4
+3 9/4 / +4 = +1 5/16
+3 9/4 / +5 = +1 1/20
+3 9/4 / +6 = +7/8
+3 9/4 / +7 = +3/4
+3 9/4 / +8 = +21/32
+3 9/4 / +9 = +7/12
+3 9/4 / -1 = -5 1/4
+3 9/4 / -2 = -2 5/8
+3 9/4 / -3 = -1 3/4
+3 9/4 / -4 = -1 5/16
+3 9/4 / -5 = -1 1/20
+3 9/4 / -6 = -7/8
+3 9/4 / -7 = -3/4
+3 9/4 / -8 = -21/32
+3 9/4 / -9 = -7/12
+3 9/5 / +1 = +4 4/5
+3 9/5 / +2 = +2 2/5
+3 9/5 / +3 = +1 3/5
+3 9/5 / +4 = +1 1/5
+3 9/5 / +5 = +24/25
+3 9/5 / +6 = +4/5
+3 9/5 / +7 = +24/35
+3 9/5 / +8 = +3/5
+3 9/5 / +9 = +8/15
+3 9/5 / -1 = -4 4/5
+3 9/5 / -2 = -2 2/5
+3 9/5 / -3 = -1 3/5
+3 9/5 / -4 = -1 1/5
+3 9/5 / -5 = -24/25
+3 9/5 / -6 = -4/5
+3 9/5 / -7 = -24/35
+3 9/5 / -8 = -3/5
+3 9/5 / -9 = -8/15
+3 9/6 / +1 = +4 1/2
+3 9/6 / +2 = +2 1/4
+3 9/6 / +3 = +1 1/2
+3 9/6 / +4 = +1 1/8
+3 9/6 / +5 = +9/10
+3 9/6 / +6 = +3/4
+3 9/6 / +7 = +9/14
+3 9/6 / +8 = +9/16
+3 9/6 / +9 = +1/2
+3 9/6 / -1 = -4 1/2
+3 9/6 / -2 = -2 1/4
+3 9/6 / -3 = -1 1/2
+3 9/6 / -4 = -1 1/8
+3 9/6 / -5 = -9/10
+3 9/6 / -6 = -3/4
+3 9/6 / -7 = -9/14
+3 9/6 / -8 = -9/16
+3 9/6 / -9 = -1/2
+3 9/7 / +1 = +4 2/7
+3 9/7 / +2 = +2 1/7
+3 9/7 / +3 = +1 3/7
+3 9/7 / +4 = +1 1/14
+3 9/7 / +5 = +6/7
+3 9/7 / +6 = +5/7
+3 9/7 / +7 = +30/49
+3 9/7 / +8 = +15/28
+3 9/7 / +9 = +10/21
+3 9/7 / -1 = -4 2/7
+3 9/7 / -2 = -2 1/7
+3 9/7 / -3 = -1 3/7
+3 9/7 / -4 = -1 1/14
+3 9/7 / -5 = -6/7
+3 9/7 / -6 = -5/7
+3 9/7 / -7 = -30/49
+3 9/7 / -8 = -15/28
+3 9/7 / -9 = -10/21
+3 9/8 / +1 = +4 1/8
+3 9/8 / +2 = +2 1/16
+3 9/8 / +3 = +1 3/8
+3 9/8 / +4 = +1 1/32
+3 9/8 / +5 = +33/40
+3 9/8 / +6 = +11/16
+3 9/8 / +7 = +33/56
+3 9/8 / +8 = +33/64
+3 9/8 / +9 = +11/24
+3 9/8 / -1 = -4 1/8
+3 9/8 / -2 = -2 1/16
+3 9/8 / -3 = -1 3/8
+3 9/8 / -4 = -1 1/32
+3 9/8 / -5 = -33/40
+3 9/8 / -6 = -11/16
+3 9/8 / -7 = -33/56
+3 9/8 / -8 = -33/64
+3 9/8 / -9 = -11/24
+3 9/9 / +1 = +4
+3 9/9 / +2 = +2
+3 9/9 / +3 = +1 1/3
+3 9/9 / +4 = +1
+3 9/9 / +5 = +4/5
+3 9/9 / +6 = +2/3
+3 9/9 / +7 = +4/7
+3 9/9 / +8 = +1/2
+3 9/9 / +9 = +4/9
+3 9/9 / -1 = -4
+3 9/9 / -2 = -2
+3 9/9 / -3 = -1 1/3
+3 9/9 / -4 = -1
+3 9/9 / -5 = -4/5
+3 9/9 / -6 = -2/3
+3 9/9 / -7 = -4/7
+3 9/9 / -8 = -1/2
+3 9/9 / -9 = -4/9
+4 0/1 / +1 = +4
+4 0/1 / +2 = +2
+4 0/1 / +3 = +1 1/3
+4 0/1 / +4 = +1
