Lista com : 1800
+2 5/7 = +19/7
+2 5/8 = +21/8
+2 5/9 = +23/9
+2 6/4 = +7/2
+2 6/5 = +16/5
+2 6/7 = +20/7
+2 6/8 = +11/4
+2 6/9 = +8/3
+2 7/2 = +11/2
+2 7/3 = +13/3
+2 7/4 = +15/4
+2 7/5 = +17/5
+2 7/6 = +19/6
+2 7/8 = +23/8
+2 7/9 = +25/9
+2 8/3 = +14/3
+2 8/5 = +18/5
+2 8/6 = +10/3
+2 8/7 = +22/7
+2 8/9 = +26/9
+2 9/2 = +13/2
+2 9/4 = +17/4
+2 9/5 = +19/5
+2 9/6 = +7/2
+2 9/7 = +23/7
+2 9/8 = +25/8
+3 1/2 = +7/2
+3 1/3 = +10/3
+3 1/4 = +13/4
+3 1/5 = +16/5
+3 1/6 = +19/6
+3 1/7 = +22/7
+3 1/8 = +25/8
+3 1/9 = +28/9
+3 2/3 = +11/3
+3 2/4 = +7/2
+3 2/5 = +17/5
+3 2/6 = +10/3
+3 2/7 = +23/7
+3 2/8 = +13/4
+3 2/9 = +29/9
+3 3/2 = +9/2
+3 3/4 = +15/4
+3 3/5 = +18/5
+3 3/6 = +7/2
+3 3/7 = +24/7
+3 3/8 = +27/8
+3 3/9 = +10/3
+3 4/3 = +13/3
+3 4/5 = +19/5
+3 4/6 = +11/3
+3 4/7 = +25/7
+3 4/8 = +7/2
+3 4/9 = +31/9
+3 5/2 = +11/2
+3 5/3 = +14/3
+3 5/4 = +17/4
+3 5/6 = +23/6
+3 5/7 = +26/7
+3 5/8 = +29/8
+3 5/9 = +32/9
+3 6/4 = +9/2
+3 6/5 = +21/5
+3 6/7 = +27/7
+3 6/8 = +15/4
+3 6/9 = +11/3
+3 7/2 = +13/2
+3 7/3 = +16/3
+3 7/4 = +19/4
+3 7/5 = +22/5
+3 7/6 = +25/6
+3 7/8 = +31/8
+3 7/9 = +34/9
+3 8/3 = +17/3
+3 8/5 = +23/5
+3 8/6 = +13/3
+3 8/7 = +29/7
+3 8/9 = +35/9
+3 9/2 = +15/2
+3 9/4 = +21/4
+3 9/5 = +24/5
+3 9/6 = +9/2
+3 9/7 = +30/7
+3 9/8 = +33/8
+4 1/2 = +9/2
+4 1/3 = +13/3
+4 1/4 = +17/4
+4 1/5 = +21/5
+4 1/6 = +25/6
+4 1/7 = +29/7
+4 1/8 = +33/8
+4 1/9 = +37/9
+4 2/3 = +14/3
+4 2/4 = +9/2
+4 2/5 = +22/5
+4 2/6 = +13/3
+4 2/7 = +30/7
+4 2/8 = +17/4
+4 2/9 = +38/9
+4 3/2 = +11/2
+4 3/4 = +19/4
+4 3/5 = +23/5
+4 3/6 = +9/2
+4 3/7 = +31/7
+4 3/8 = +35/8
+4 3/9 = +13/3
+4 4/3 = +16/3
+4 4/5 = +24/5
+4 4/6 = +14/3
+4 4/7 = +32/7
+4 4/8 = +9/2
+4 4/9 = +40/9
+4 5/2 = +13/2
+4 5/3 = +17/3
+4 5/4 = +21/4
+4 5/6 = +29/6
+4 5/7 = +33/7
+4 5/8 = +37/8
+4 5/9 = +41/9
+4 6/4 = +11/2
+4 6/5 = +26/5
+4 6/7 = +34/7
+4 6/8 = +19/4
+4 6/9 = +14/3
+4 7/2 = +15/2
+4 7/3 = +19/3
+4 7/4 = +23/4
+4 7/5 = +27/5
+4 7/6 = +31/6
+4 7/8 = +39/8
+4 7/9 = +43/9
+4 8/3 = +20/3
+4 8/5 = +28/5
+4 8/6 = +16/3
+4 8/7 = +36/7
+4 8/9 = +44/9
+4 9/2 = +17/2
+4 9/4 = +25/4
+4 9/5 = +29/5
+4 9/6 = +11/2
+4 9/7 = +37/7
+4 9/8 = +41/8
+5 1/2 = +11/2
+5 1/3 = +16/3
+5 1/4 = +21/4
+5 1/5 = +26/5
+5 1/6 = +31/6
+5 1/7 = +36/7
+5 1/8 = +41/8
+5 1/9 = +46/9
+5 2/3 = +17/3
+5 2/4 = +11/2
+5 2/5 = +27/5
+5 2/6 = +16/3
+5 2/7 = +37/7
+5 2/8 = +21/4
+5 2/9 = +47/9
+5 3/2 = +13/2
+5 3/4 = +23/4
+5 3/5 = +28/5
+5 3/6 = +11/2
+5 3/7 = +38/7
+5 3/8 = +43/8
+5 3/9 = +16/3
+5 4/3 = +19/3
+5 4/5 = +29/5
+5 4/6 = +17/3
+5 4/7 = +39/7
+5 4/8 = +11/2
+5 4/9 = +49/9
+5 5/2 = +15/2
+5 5/3 = +20/3
+5 5/4 = +25/4
+5 5/6 = +35/6
+5 5/7 = +40/7
+5 5/8 = +45/8
+5 5/9 = +50/9
+5 6/4 = +13/2
+5 6/5 = +31/5
+5 6/7 = +41/7
+5 6/8 = +23/4
+5 6/9 = +17/3
+5 7/2 = +17/2
+5 7/3 = +22/3
+5 7/4 = +27/4
+5 7/5 = +32/5
+5 7/6 = +37/6
+5 7/8 = +47/8
+5 7/9 = +52/9
+5 8/3 = +23/3
+5 8/5 = +33/5
+5 8/6 = +19/3
+5 8/7 = +43/7
+5 8/9 = +53/9
+5 9/2 = +19/2
+5 9/4 = +29/4
+5 9/5 = +34/5
+5 9/6 = +13/2
+5 9/7 = +44/7
+5 9/8 = +49/8
+6 1/2 = +13/2
+6 1/3 = +19/3
+6 1/4 = +25/4
+6 1/5 = +31/5
+6 1/6 = +37/6
+6 1/7 = +43/7
+6 1/8 = +49/8
+6 1/9 = +55/9
+6 2/3 = +20/3
+6 2/4 = +13/2
+6 2/5 = +32/5
+6 2/6 = +19/3
+6 2/7 = +44/7
+6 2/8 = +25/4
+6 2/9 = +56/9
+6 3/2 = +15/2
+6 3/4 = +27/4
+6 3/5 = +33/5
+6 3/6 = +13/2
+6 3/7 = +45/7
+6 3/8 = +51/8
+6 3/9 = +19/3
+6 4/3 = +22/3
+6 4/5 = +34/5
+6 4/6 = +20/3
+6 4/7 = +46/7
+6 4/8 = +13/2
+6 4/9 = +58/9
+6 5/2 = +17/2
+6 5/3 = +23/3
+6 5/4 = +29/4
+6 5/6 = +41/6
+6 5/7 = +47/7
+6 5/8 = +53/8
+6 5/9 = +59/9
+6 6/4 = +15/2
+6 6/5 = +36/5
+6 6/7 = +48/7
+6 6/8 = +27/4
+6 6/9 = +20/3
+6 7/2 = +19/2
+6 7/3 = +25/3
+6 7/4 = +31/4
+6 7/5 = +37/5
+6 7/6 = +43/6
+6 7/8 = +55/8
+6 7/9 = +61/9
+6 8/3 = +26/3
+6 8/5 = +38/5
+6 8/6 = +22/3
+6 8/7 = +50/7
+6 8/9 = +62/9
+6 9/2 = +21/2
+6 9/4 = +33/4
+6 9/5 = +39/5
+6 9/6 = +15/2
+6 9/7 = +51/7
+6 9/8 = +57/8
+7 1/2 = +15/2
+7 1/3 = +22/3
+7 1/4 = +29/4
+7 1/5 = +36/5
+7 1/6 = +43/6
+7 1/7 = +50/7
+7 1/8 = +57/8
+7 1/9 = +64/9
+7 2/3 = +23/3
+7 2/4 = +15/2
+7 2/5 = +37/5
+7 2/6 = +22/3
+7 2/7 = +51/7
+7 2/8 = +29/4
+7 2/9 = +65/9
+7 3/2 = +17/2
+7 3/4 = +31/4
+7 3/5 = +38/5
+7 3/6 = +15/2
+7 3/7 = +52/7
+7 3/8 = +59/8
+7 3/9 = +22/3
+7 4/3 = +25/3
+7 4/5 = +39/5
+7 4/6 = +23/3
+7 4/7 = +53/7
+7 4/8 = +15/2
+7 4/9 = +67/9
+7 5/2 = +19/2
+7 5/3 = +26/3
+7 5/4 = +33/4
+7 5/6 = +47/6
+7 5/7 = +54/7
+7 5/8 = +61/8
+7 5/9 = +68/9
+7 6/4 = +17/2
+7 6/5 = +41/5
+7 6/7 = +55/7
+7 6/8 = +31/4
+7 6/9 = +23/3
+7 7/2 = +21/2
+7 7/3 = +28/3
+7 7/4 = +35/4
+7 7/5 = +42/5
+7 7/6 = +49/6
+7 7/8 = +63/8
+7 7/9 = +70/9
+7 8/3 = +29/3
+7 8/5 = +43/5
+7 8/6 = +25/3
+7 8/7 = +57/7
+7 8/9 = +71/9
+7 9/2 = +23/2
+7 9/4 = +37/4
+7 9/5 = +44/5
+7 9/6 = +17/2
+7 9/7 = +58/7
+7 9/8 = +65/8
+8 1/2 = +17/2
+8 1/3 = +25/3
+8 1/4 = +33/4
+8 1/5 = +41/5
+8 1/6 = +49/6
+8 1/7 = +57/7
+8 1/8 = +65/8
+8 1/9 = +73/9
+8 2/3 = +26/3
+8 2/4 = +17/2
+8 2/5 = +42/5
+8 2/6 = +25/3
+8 2/7 = +58/7
+8 2/8 = +33/4
+8 2/9 = +74/9
+8 3/2 = +19/2
+8 3/4 = +35/4
+8 3/5 = +43/5
+8 3/6 = +17/2
+8 3/7 = +59/7
+8 3/8 = +67/8
+8 3/9 = +25/3
+8 4/3 = +28/3
+8 4/5 = +44/5
+8 4/6 = +26/3
+8 4/7 = +60/7
+8 4/8 = +17/2
+8 4/9 = +76/9
+8 5/2 = +21/2
+8 5/3 = +29/3
+8 5/4 = +37/4
+8 5/6 = +53/6
+8 5/7 = +61/7
+8 5/8 = +69/8
+8 5/9 = +77/9
+8 6/4 = +19/2
+8 6/5 = +46/5
+8 6/7 = +62/7
+8 6/8 = +35/4
+8 6/9 = +26/3
+8 7/2 = +23/2
+8 7/3 = +31/3
+8 7/4 = +39/4
+8 7/5 = +47/5
+8 7/6 = +55/6
+8 7/8 = +71/8
+8 7/9 = +79/9
+8 8/3 = +32/3
+8 8/5 = +48/5
+8 8/6 = +28/3
+8 8/7 = +64/7
+8 8/9 = +80/9
+8 9/2 = +25/2
+8 9/4 = +41/4
+8 9/5 = +49/5
+8 9/6 = +19/2
+8 9/7 = +65/7
+8 9/8 = +73/8
+9 1/2 = +19/2
+9 1/3 = +28/3
+9 1/4 = +37/4
+9 1/5 = +46/5
+9 1/6 = +55/6
+9 1/7 = +64/7
+9 1/8 = +73/8
+9 1/9 = +82/9
+9 2/3 = +29/3
+9 2/4 = +19/2
+9 2/5 = +47/5
+9 2/6 = +28/3
+9 2/7 = +65/7
+9 2/8 = +37/4
+9 2/9 = +83/9
+9 3/2 = +21/2
+9 3/4 = +39/4
+9 3/5 = +48/5
+9 3/6 = +19/2
+9 3/7 = +66/7
+9 3/8 = +75/8
+9 3/9 = +28/3
+9 4/3 = +31/3
+9 4/5 = +49/5
+9 4/6 = +29/3
+9 4/7 = +67/7
+9 4/8 = +19/2
+9 4/9 = +85/9
+9 5/2 = +23/2
+9 5/3 = +32/3
+9 5/4 = +41/4
+9 5/6 = +59/6
+9 5/7 = +68/7
+9 5/8 = +77/8
+9 5/9 = +86/9
+9 6/4 = +21/2
+9 6/5 = +51/5
+9 6/7 = +69/7
+9 6/8 = +39/4
+9 6/9 = +29/3
+9 7/2 = +25/2
+9 7/3 = +34/3
+9 7/4 = +43/4
+9 7/5 = +52/5
+9 7/6 = +61/6
+9 7/8 = +79/8
+9 7/9 = +88/9
+9 8/3 = +35/3
+9 8/5 = +53/5
+9 8/6 = +31/3
+9 8/7 = +71/7
+9 8/9 = +89/9
+9 9/2 = +27/2
+9 9/4 = +45/4
+9 9/5 = +54/5
+9 9/6 = +21/2
+9 9/7 = +72/7
+9 9/8 = +81/8
-0 1/2 = -1/2
-0 1/3 = -1/3
-0 1/4 = -1/4
-0 1/5 = -1/5
-0 1/6 = -1/6
-0 1/7 = -1/7
-0 1/8 = -1/8
-0 1/9 = -1/9
-0 2/3 = -2/3
-0 2/4 = -1/2
-0 2/5 = -2/5
-0 2/6 = -1/3
-0 2/7 = -2/7
-0 2/8 = -1/4
-0 2/9 = -2/9
-0 3/2 = -3/2
-0 3/4 = -3/4
-0 3/5 = -3/5
-0 3/6 = -1/2
-0 3/7 = -3/7
-0 3/8 = -3/8
-0 3/9 = -1/3
-0 4/3 = -4/3
-0 4/5 = -4/5
-0 4/6 = -2/3
-0 4/7 = -4/7
-0 4/8 = -1/2
-0 4/9 = -4/9
-0 5/2 = -5/2
-0 5/3 = -5/3
-0 5/4 = -5/4
-0 5/6 = -5/6
-0 5/7 = -5/7
-0 5/8 = -5/8
-0 5/9 = -5/9
-0 6/4 = -3/2
-0 6/5 = -6/5
-0 6/7 = -6/7
-0 6/8 = -3/4
-0 6/9 = -2/3
-0 7/2 = -7/2
-0 7/3 = -7/3
-0 7/4 = -7/4
-0 7/5 = -7/5
-0 7/6 = -7/6
-0 7/8 = -7/8
-0 7/9 = -7/9
-0 8/3 = -8/3
-0 8/5 = -8/5
-0 8/6 = -4/3
-0 8/7 = -8/7
-0 8/9 = -8/9
-0 9/2 = -9/2
-0 9/4 = -9/4
-0 9/5 = -9/5
-0 9/6 = -3/2
-0 9/7 = -9/7
-0 9/8 = -9/8
-1 1/2 = -3/2
-1 1/3 = -4/3
-1 1/4 = -5/4
-1 1/5 = -6/5
-1 1/6 = -7/6
-1 1/7 = -8/7
-1 1/8 = -9/8
-1 1/9 = -10/9
-1 2/3 = -5/3
-1 2/4 = -3/2
-1 2/5 = -7/5
-1 2/6 = -4/3
-1 2/7 = -9/7
-1 2/8 = -5/4
-1 2/9 = -11/9
-1 3/2 = -5/2
-1 3/4 = -7/4
-1 3/5 = -8/5
-1 3/6 = -3/2
-1 3/7 = -10/7
-1 3/8 = -11/8
-1 3/9 = -4/3
-1 4/3 = -7/3
-1 4/5 = -9/5
-1 4/6 = -5/3
-1 4/7 = -11/7
-1 4/8 = -3/2
-1 4/9 = -13/9
-1 5/2 = -7/2
-1 5/3 = -8/3
-1 5/4 = -9/4
-1 5/6 = -11/6
-1 5/7 = -12/7
-1 5/8 = -13/8
-1 5/9 = -14/9
-1 6/4 = -5/2
-1 6/5 = -11/5
-1 6/7 = -13/7
-1 6/8 = -7/4
-1 6/9 = -5/3
-1 7/2 = -9/2
-1 7/3 = -10/3
-1 7/4 = -11/4
-1 7/5 = -12/5
-1 7/6 = -13/6
-1 7/8 = -15/8
-1 7/9 = -16/9
-1 8/3 = -11/3
-1 8/5 = -13/5
-1 8/6 = -7/3
-1 8/7 = -15/7
-1 8/9 = -17/9
-1 9/2 = -11/2
-1 9/4 = -13/4
-1 9/5 = -14/5
-1 9/6 = -5/2
-1 9/7 = -16/7
-1 9/8 = -17/8
-2 1/2 = -5/2
-2 1/3 = -7/3
-2 1/4 = -9/4
-2 1/5 = -11/5
-2 1/6 = -13/6
-2 1/7 = -15/7
-2 1/8 = -17/8
-2 1/9 = -19/9
-2 2/3 = -8/3
-2 2/4 = -5/2
-2 2/5 = -12/5
-2 2/6 = -7/3
-2 2/7 = -16/7
-2 2/8 = -9/4
-2 2/9 = -20/9
-2 3/2 = -7/2
-2 3/4 = -11/4
-2 3/5 = -13/5
-2 3/6 = -5/2
-2 3/7 = -17/7
-2 3/8 = -19/8
-2 3/9 = -7/3
-2 4/3 = -10/3
-2 4/5 = -14/5
-2 4/6 = -8/3
-2 4/7 = -18/7
-2 4/8 = -5/2
-2 4/9 = -22/9
-2 5/2 = -9/2
-2 5/3 = -11/3
-2 5/4 = -13/4
-2 5/6 = -17/6
-2 5/7 = -19/7
-2 5/8 = -21/8
-2 5/9 = -23/9
-2 6/4 = -7/2
-2 6/5 = -16/5
-2 6/7 = -20/7
-2 6/8 = -11/4
-2 6/9 = -8/3
-2 7/2 = -11/2
-2 7/3 = -13/3
-2 7/4 = -15/4
-2 7/5 = -17/5
-2 7/6 = -19/6
-2 7/8 = -23/8
-2 7/9 = -25/9
-2 8/3 = -14/3
-2 8/5 = -18/5
-2 8/6 = -10/3
-2 8/7 = -22/7
-2 8/9 = -26/9
-2 9/2 = -13/2
-2 9/4 = -17/4
-2 9/5 = -19/5
-2 9/6 = -7/2
-2 9/7 = -23/7
-2 9/8 = -25/8
-3 1/2 = -7/2
-3 1/3 = -10/3
-3 1/4 = -13/4
-3 1/5 = -16/5
-3 1/6 = -19/6
-3 1/7 = -22/7
-3 1/8 = -25/8
-3 1/9 = -28/9
-3 2/3 = -11/3
-3 2/4 = -7/2
-3 2/5 = -17/5
-3 2/6 = -10/3
-3 2/7 = -23/7
-3 2/8 = -13/4
-3 2/9 = -29/9
-3 3/2 = -9/2
-3 3/4 = -15/4
-3 3/5 = -18/5
-3 3/6 = -7/2
-3 3/7 = -24/7
-3 3/8 = -27/8
-3 3/9 = -10/3
-3 4/3 = -13/3
-3 4/5 = -19/5
-3 4/6 = -11/3
-3 4/7 = -25/7
-3 4/8 = -7/2
-3 4/9 = -31/9
-3 5/2 = -11/2
-3 5/3 = -14/3
-3 5/4 = -17/4
-3 5/6 = -23/6
-3 5/7 = -26/7
-3 5/8 = -29/8
-3 5/9 = -32/9
-3 6/4 = -9/2
-3 6/5 = -21/5
-3 6/7 = -27/7
-3 6/8 = -15/4
-3 6/9 = -11/3
-3 7/2 = -13/2
-3 7/3 = -16/3
-3 7/4 = -19/4
-3 7/5 = -22/5
-3 7/6 = -25/6
-3 7/8 = -31/8
-3 7/9 = -34/9
-3 8/3 = -17/3
-3 8/5 = -23/5
-3 8/6 = -13/3
-3 8/7 = -29/7
-3 8/9 = -35/9
-3 9/2 = -15/2
-3 9/4 = -21/4
-3 9/5 = -24/5
-3 9/6 = -9/2
-3 9/7 = -30/7
-3 9/8 = -33/8
-4 1/2 = -9/2
-4 1/3 = -13/3
-4 1/4 = -17/4
-4 1/5 = -21/5
-4 1/6 = -25/6
-4 1/7 = -29/7
-4 1/8 = -33/8
-4 1/9 = -37/9
-4 2/3 = -14/3
-4 2/4 = -9/2
-4 2/5 = -22/5
-4 2/6 = -13/3
-4 2/7 = -30/7
-4 2/8 = -17/4
-4 2/9 = -38/9
-4 3/2 = -11/2
-4 3/4 = -19/4
-4 3/5 = -23/5
-4 3/6 = -9/2
-4 3/7 = -31/7
-4 3/8 = -35/8
-4 3/9 = -13/3
-4 4/3 = -16/3
-4 4/5 = -24/5
-4 4/6 = -14/3
-4 4/7 = -32/7
-4 4/8 = -9/2
-4 4/9 = -40/9
-4 5/2 = -13/2
-4 5/3 = -17/3
-4 5/4 = -21/4
-4 5/6 = -29/6
-4 5/7 = -33/7
-4 5/8 = -37/8
-4 5/9 = -41/9
-4 6/4 = -11/2
-4 6/5 = -26/5
-4 6/7 = -34/7
-4 6/8 = -19/4
-4 6/9 = -14/3
-4 7/2 = -15/2
-4 7/3 = -19/3
-4 7/4 = -23/4
-4 7/5 = -27/5
-4 7/6 = -31/6
-4 7/8 = -39/8
-4 7/9 = -43/9
-4 8/3 = -20/3
-4 8/5 = -28/5
-4 8/6 = -16/3
-4 8/7 = -36/7
-4 8/9 = -44/9
-4 9/2 = -17/2
-4 9/4 = -25/4
-4 9/5 = -29/5
-4 9/6 = -11/2
-4 9/7 = -37/7
-4 9/8 = -41/8
-5 1/2 = -11/2
-5 1/3 = -16/3
-5 1/4 = -21/4
-5 1/5 = -26/5
-5 1/6 = -31/6
-5 1/7 = -36/7
-5 1/8 = -41/8
-5 1/9 = -46/9
-5 2/3 = -17/3
-5 2/4 = -11/2
-5 2/5 = -27/5
-5 2/6 = -16/3
-5 2/7 = -37/7
-5 2/8 = -21/4
-5 2/9 = -47/9
-5 3/2 = -13/2
-5 3/4 = -23/4
-5 3/5 = -28/5
-5 3/6 = -11/2
-5 3/7 = -38/7
-5 3/8 = -43/8
-5 3/9 = -16/3
-5 4/3 = -19/3
-5 4/5 = -29/5
-5 4/6 = -17/3
-5 4/7 = -39/7
-5 4/8 = -11/2
-5 4/9 = -49/9
-5 5/2 = -15/2
-5 5/3 = -20/3
-5 5/4 = -25/4
-5 5/6 = -35/6
-5 5/7 = -40/7
-5 5/8 = -45/8
-5 5/9 = -50/9
-5 6/4 = -13/2
-5 6/5 = -31/5
-5 6/7 = -41/7
-5 6/8 = -23/4
-5 6/9 = -17/3
-5 7/2 = -17/2
-5 7/3 = -22/3
-5 7/4 = -27/4
-5 7/5 = -32/5
-5 7/6 = -37/6
-5 7/8 = -47/8
-5 7/9 = -52/9
-5 8/3 = -23/3
-5 8/5 = -33/5
-5 8/6 = -19/3
-5 8/7 = -43/7
-5 8/9 = -53/9
-5 9/2 = -19/2
-5 9/4 = -29/4
-5 9/5 = -34/5
-5 9/6 = -13/2
-5 9/7 = -44/7
-5 9/8 = -49/8
-6 1/2 = -13/2
-6 1/3 = -19/3
-6 1/4 = -25/4
-6 1/5 = -31/5
-6 1/6 = -37/6
-6 1/7 = -43/7
-6 1/8 = -49/8
-6 1/9 = -55/9
-6 2/3 = -20/3
-6 2/4 = -13/2
-6 2/5 = -32/5
-6 2/6 = -19/3
-6 2/7 = -44/7
-6 2/8 = -25/4
-6 2/9 = -56/9
-6 3/2 = -15/2
-6 3/4 = -27/4
-6 3/5 = -33/5
-6 3/6 = -13/2
-6 3/7 = -45/7
-6 3/8 = -51/8
-6 3/9 = -19/3
-6 4/3 = -22/3
-6 4/5 = -34/5
-6 4/6 = -20/3
-6 4/7 = -46/7
-6 4/8 = -13/2
-6 4/9 = -58/9
-6 5/2 = -17/2
-6 5/3 = -23/3
-6 5/4 = -29/4
-6 5/6 = -41/6
-6 5/7 = -47/7
-6 5/8 = -53/8
-6 5/9 = -59/9
-6 6/4 = -15/2
-6 6/5 = -36/5
-6 6/7 = -48/7
-6 6/8 = -27/4
-6 6/9 = -20/3
-6 7/2 = -19/2
-6 7/3 = -25/3
-6 7/4 = -31/4
-6 7/5 = -37/5
-6 7/6 = -43/6
-6 7/8 = -55/8
-6 7/9 = -61/9
-6 8/3 = -26/3
-6 8/5 = -38/5
-6 8/6 = -22/3
-6 8/7 = -50/7
-6 8/9 = -62/9
-6 9/2 = -21/2
-6 9/4 = -33/4
-6 9/5 = -39/5
-6 9/6 = -15/2
-6 9/7 = -51/7
-6 9/8 = -57/8
-7 1/2 = -15/2
-7 1/3 = -22/3
-7 1/4 = -29/4
-7 1/5 = -36/5
-7 1/6 = -43/6
-7 1/7 = -50/7
-7 1/8 = -57/8
-7 1/9 = -64/9
-7 2/3 = -23/3
-7 2/4 = -15/2
-7 2/5 = -37/5
-7 2/6 = -22/3
-7 2/7 = -51/7
-7 2/8 = -29/4
-7 2/9 = -65/9
-7 3/2 = -17/2
-7 3/4 = -31/4
-7 3/5 = -38/5
-7 3/6 = -15/2
-7 3/7 = -52/7
-7 3/8 = -59/8
-7 3/9 = -22/3
-7 4/3 = -25/3
-7 4/5 = -39/5
-7 4/6 = -23/3
-7 4/7 = -53/7
-7 4/8 = -15/2
-7 4/9 = -67/9
-7 5/2 = -19/2
-7 5/3 = -26/3
-7 5/4 = -33/4
-7 5/6 = -47/6
-7 5/7 = -54/7
-7 5/8 = -61/8
-7 5/9 = -68/9
-7 6/4 = -17/2
-7 6/5 = -41/5
-7 6/7 = -55/7
-7 6/8 = -31/4
-7 6/9 = -23/3
-7 7/2 = -21/2
-7 7/3 = -28/3
-7 7/4 = -35/4
-7 7/5 = -42/5
-7 7/6 = -49/6
-7 7/8 = -63/8
-7 7/9 = -70/9
-7 8/3 = -29/3
-7 8/5 = -43/5
-7 8/6 = -25/3
-7 8/7 = -57/7
-7 8/9 = -71/9
-7 9/2 = -23/2
-7 9/4 = -37/4
-7 9/5 = -44/5
-7 9/6 = -17/2
-7 9/7 = -58/7
-7 9/8 = -65/8
-8 1/2 = -17/2
-8 1/3 = -25/3
-8 1/4 = -33/4
-8 1/5 = -41/5
-8 1/6 = -49/6
-8 1/7 = -57/7
-8 1/8 = -65/8
-8 1/9 = -73/9
-8 2/3 = -26/3
-8 2/4 = -17/2
-8 2/5 = -42/5
-8 2/6 = -25/3
-8 2/7 = -58/7
-8 2/8 = -33/4
-8 2/9 = -74/9
-8 3/2 = -19/2
-8 3/4 = -35/4
-8 3/5 = -43/5
-8 3/6 = -17/2
-8 3/7 = -59/7
-8 3/8 = -67/8
-8 3/9 = -25/3
-8 4/3 = -28/3
-8 4/5 = -44/5
-8 4/6 = -26/3
-8 4/7 = -60/7
-8 4/8 = -17/2
-8 4/9 = -76/9
-8 5/2 = -21/2
-8 5/3 = -29/3
-8 5/4 = -37/4
